Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2016;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
;;0–19;20–64;65 und mehr;Mann;Frau;Schweizer;Ausländer ;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;In eingetragener Partnerschaft;Aufgelöste Partnerschaft;Städtischer;Einflussgebiet;Gebiete ausser-;
;;;;;;;;;;;;;;;;Kernraum;städtischer Kerne;halb des Einflusses;
;;;;;;;;;;;;;;;;;;städtischer Kerne;2016
Schweiz;8’419’550;1’691’466;5’205’025;1’523’059;4’173’437;4’246’113;6’318’404;2’101’146;3’710’349;3’585’129;406’983;699’200;597;15’324;1’730;5’282’707;1’837’044;1’299’799;
Genferseeregion;1’613’522;343’884;996’126;273’512;790’573;822’949;1’074’042;539’480;734’396;661’014;73’218;140’988;166;3’292;392;1’107’433;341’044;165’045;
Waadt;784’822;172’689;483’842;128’291;385’389;399’433;520’957;263’865;361’457;319’592;34’549;67’313;59;1’639;183;486’030;216’920;81’872;16.6
Wallis;339’176;67’739;206’913;64’524;168’072;171’104;260’444;78’732;144’112;149’235;18’259;27’145;37;325;48;175’361;80’642;83’173;13.5
Genf;489’524;103’456;305’371;80’697;237’112;252’412;292’641;196’883;228’827;192’187;20’410;46’530;70;1’328;161;446’042;43’482;0;18.4
Espace Mittelland;1’859’557;372’064;1’131’995;355’498;917’893;941’664;1’509’290;350’267;807’879;792’454;98’294;157’791;127;2’621;340;932’607;495’907;431’043;
Bern;1’026’513;195’733;622’339;208’441;503’789;522’724;861’614;164’899;443’834;438’530;56’089;86’136;58;1’610;223;537’279;228’035;261’199;16.9
Freiburg;311’914;70’816;193’603;47’495;156’334;155’580;242’087;69’827;141’835;131’932;13’448;24’230;34;385;43;103’226;128’666;80’022;14.5
Solothurn;269’441;51’712;166’200;51’529;134’300;135’141;210’240;59’201;112’377;118’905;14’383;23’344;15;368;40;162’403;69’702;37’336;13.3
Neuenburg;178’567;38’110;107’176;33’281;87’312;91’255;132’878;45’689;78’415;71’940;9’830;18’152;13;191;26;104’666;55’652;18’249;11.7
Jura;73’122;15’693;42’677;14’752;36’158;36’964;62’471;10’651;31’418;31’147;4’544;5’929;7;67;8;25’033;13’852;34’237;11.7
