Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2016;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
Nordwestschweiz;1’142’156;222’348;706’708;213’100;566’718;575’438;845’728;296’428;486’949;501’849;56’612;94’334;66;2’118;210;749’305;287’018;105’833;
Basel-Stadt;193’070;32’634;121’641;38’795;93’212;99’858;124’026;69’044;91’119;71’579;10’856;18’773;20;652;66;193’070;0;0;16.9
Basel-Landschaft;285’624;54’894;169’564;61’166;140’142;145’482;221’990;63’634;114’577;131’232;15’659;23’510;10;589;44;194’396;84’267;6’961;16.3
Aargau;663’462;134’820;415’503;113’139;333’364;330’098;499’712;163’750;281’253;299’038;30’097;52’051;36;877;100;361’839;202’751;98’872;15.1
Zürich;1’487’969;293’045;943’505;251’419;739’814;748’155;1’092’631;395’338;681’544;610’364;63’250;127’472;93;4’623;555;1’146’031;331’802;10’136;18.6
Ostschweiz;1’162’684;233’475;716’110;213’099;582’942;579’742;898’952;263’732;495’878;513’991;58’057;93’293;53;1’273;112;631’499;198’485;332’700;
Glarus;40’147;7’773;24’584;7’790;20’329;19’818;30’650;9’497;16’683;17’945;2’329;3’148;2;36;4;30’572;0;9’575;13.6
Schaffhausen;80’769;15’243;48’813;16’713;40’020;40’749;59’889;20’880;32’985;36’035;4’616;6’996;2;125;9;46’555;25’971;8’243;13.4
Appenzell A. Rh.;54’954;11’145;33’434;10’375;27’778;27’176;46’044;8’910;23’260;24’154;2’851;4’604;2;80;3;15’730;26’328;12’896;12.6
Appenzell I. Rh.;16’003;3’511;9’527;2’965;8’237;7’766;14’230;1’773;7’311;6’974;851;853;1;11;2;0;0;16’003;13.2
St. Gallen;502’552;104’274;309’354;88’924;251’526;251’026;382’829;119’723;217’268;220’661;24’299;39’721;22;519;44;348’830;65’680;88’042;14
Graubünden;197’550;36’079;121’002;40’469;98’853;98’697;160’932;36’618;83’644;87’645;10’710;15’346;13;169;18;64’339;24’115;109’096;15.3
Thurgau;270’709;55’450;169’396;45’863;136’199;134’510;204’378;66’331;114’727;120’577;12’401;22’625;11;333;32;125’473;56’391;88’845;13.6
Zentralschweiz;799’287;161’596;499’290;138’401;402’620;396’667;642’933;156’354;355’982;350’170;36’120;55’845;53;1’022;79;468’902;103’754;226’631;
Luzern;403’397;82’723;251’486;69’188;200’897;202’500;329’264;74’133;183’772;173’311;18’609;27’087;23;539;47;212’163;45’057;146’177;15.4
Uri;36’145;7’377;21’652;7’116;18’427;17’718;31’850;4’295;15’449;16’834;2’001;1’818;8;32;2;22’132;9’815;4’198;13.5
Schwyz;155’863;30’881;98’333;26’649;79’852;76’011;123’597;32’266;67’605;69’135;6’974;11’948;5;183;11;94’847;32’888;28’128;16.7
Obwalden;37’378;7’639;23’026;6’713;18’965;18’413;31’892;5’486;16’571;16’616;1’762;2’400;1;27;1;10’233;0;27’145;13.2
Nidwalden;42’556;7’863;26’417;8’276;21’795;20’761;36’521;6’035;18’386;18’915;1’978;3’233;4;35;3;15’891;5’682;20’983;15.3
Zug;123’948;25’113;78’376;20’459;62’684;61’264;89’809;34’139;54’199;55’359;4’796;9’359;12;206;15;113’636;10’312;0;20.2
Tessin;354’375;65’054;211’291;78’030;172’877;181’498;254’828;99’547;147’721;155’287;21’432;29’477;39;375;42;246’930;79’034;28’411;13.4
