Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2012;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand;;;;;;;Typologie: Raum mit städtischem Charakter 1;;;Preis pro m2
;;0–19;20–64;65 und mehr;Mann;Frau;Schweizer;Ausländer ;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;In eingetragener Partnerschaft;Aufgelöste Partnerschaft;Städtischer;Einflussgebiet;Gebiete ausser-;
;;;;;;;;;;;;;;;;Kernraum;städtischer Kerne;halb des Einflusses;
;;;;;;;;;;;;;;;;;;städtischer Kerne;2012
Schweiz;8’039’060;1’643’307;4’997’135;1’398’618;3’968’524;4’070’536;6’169’091;1’869’969;3’477’652;3’507’132;407’661;634’401;502;11’057;655;5’042’728;1’742’882;1’253’450;
Genferseeregion;1’519’189;329’582;938’902;250’705;741’999;777’190;1’029’640;489’549;671’776;646’068;72’781;125’884;130;2’415;135;1’046’667;316’316;156’206;
Waadt;734’356;164’537;452’075;117’744;358’983;375’373;498’089;236’267;326’830;311’274;34’752;60’211;41;1’193;55;459’415;199’943;74’998;16.6
Wallis;321’732;66’135;198’363;57’234;159’279;162’453;252’134;69’598;134’957;145’504;17’768;23’229;31;230;13;165’091;75’433;81’208;13.6
Genf;463’101;98’910;288’464;75’727;223’737;239’364;279’417;183’684;209’989;189’290;20’261;42’444;58;992;67;422’161;40’940;0;18.5
Espace Mittelland;1’788’791;366’053;1’095’393;327’345;878’397;910’394;1’488’524;300’267;761’169;784’059;99’799;141’629;103;1’920;112;894’765;475’236;418’790;
Bern;992’617;192’241;607’461;192’915;484’658;507’959;853’602;139’015;420’599;435’371;57’369;78’010;51;1’146;71;516’698;220’153;255’766;16.6
Freiburg;291’395;68’379;181’009;42’007;145’326;146’069;233’105;58’290;130’145;126’821;13’272;20’834;21;282;20;94’830;121’083;75’482;14.6
Solothurn;259’283;51’274;160’742;47’267;128’386;130’897;207’443;51’840;106’473;116’955;14’527;21’040;15;263;10;156’262;67’201;35’820;13.5
Neuenburg;174’554;38’264;104’534;31’756;85’050;89’504;132’652;41’902;74’078;73’594;10’112;16’579;11;174;6;103’058;53’363;18’133;12.3
Jura;70’942;15’895;41’647;13’400;34’977;35’965;61’722;9’220;29’874;31’318;4’519;5’166;5;55;5;23’917;13’436;33’589;11.1
