Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2012;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand;;;;;;;Typologie: Raum mit städtischem Charakter 1;;;Preis pro m2
Nordwestschweiz;1’091’302;214’809;680’238;196’255;538’900;552’402;829’508;261’794;457’174;490’288;56’259;86’027;61;1’410;83;718’629;271’927;100’746;
Basel-Stadt;187’425;31’024;117’752;38’649;89’948;97’477;124’497;62’928;84’839;72’495;11’542;18’044;25;439;41;187’425;0;0;16.6
Basel-Landschaft;276’537;53’963;166’202;56’372;135’244;141’293;220’923;55’614;109’164;129’830;15’431;21’674;8;412;18;188’224;81’312;7’001;16.9
Aargau;627’340;129’822;396’284;101’234;313’708;313’632;484’088;143’252;263’171;287’963;29’286;46’309;28;559;24;342’980;190’615;93’745;15.2
Zürich;1’408’575;275’787;898’516;234’272;697’854;710’721;1’057’472;351’103;628’429;593’635;63’408;119’275;81;3’538;209;1’083’494;315’507;9’574;18.5
Ostschweiz;1’123’672;232’659;697’728;193’285;561’099;562’573;885’556;238’116;478’820;500’886;58’369;84’619;51;869;58;611’664;188’760;323’248;
Glarus;39’369;7’827;24’427;7’115;19’904;19’465;30’795;8’574;16’275;17’879;2’400;2’785;2;26;2;29’510;0;9’859;12.4
Schaffhausen;77’955;14’945;47’537;15’473;38’361;39’594;59’199;18’756;31’356;35’540;4’640;6’313;2;100;4;45’633;24’354;7’968;13
Appenzell A. Rh.;53’438;11’222;32’537;9’679;26’872;26’566;45’602;7’836;22’608;23’712;2’908;4’170;1;36;3;15’222;25’724;12’492;12.9
Appenzell I. Rh.;15’717;3’654;9’316;2’747;8’053;7’664;14’137;1’580;7’279;6’828;853;753;0;2;2;0;0;15’717;13.9
St. Gallen;487’060;104’025;301’933;81’102;242’619;244’441;377’489;109’571;210’098;215’667;24’459;36’456;17;344;19;338’652;63’247;85’161;14.2
Graubünden;193’920;36’464;121’040;36’416;96’578;97’342;160’390;33’530;82’519;86’683;10’819;13’748;20;120;11;63’043;22’593;108’284;16
Thurgau;256’213;54’522;160’938;40’753;128’712;127’501;197’944;58’269;108’685;114’577;12’290;20’394;9;241;17;119’604;52’842;83’767;13.7
Zentralschweiz;765’879;160’449;480’563;124’867;384’402;381’477;628’071;137’808;340’505;339’115;35’729;49’793;46;657;34;449’456;99’585;216’838;
Luzern;386’082;82’021;240’856;63’205;191’230;194’852;320’628;65’454;175’394;167’558;18’578;24’180;20;334;18;205’001;42’490;138’591;15.4
Uri;35’693;7’512;21’512;6’669;18’206;17’487;31’938;3’755;15’294;16’748;2’041;1’584;6;17;3;21’486;9’990;4’217;12.9
Schwyz;149’830;31’223;95’054;23’553;76’602;73’228;120’856;28’974;65’129;67’218;6’752;10’595;6;123;7;90’739;31’684;27’407;16.9
Obwalden;36’115;7’722;22’542;5’851;18’301;17’814;31’131;4’984;16’090;16’143;1’763;2’097;2;19;1;9’959;0;26’156;14.4
Nidwalden;41’584;8’043;26’307;7’234;21’247;20’337;36’398;5’186;18’049;18’643;1’905;2’967;4;16;0;15’630;5’487;20’467;15.8
Zug;116’575;23’928;74’292;18’355;58’816;57’759;87’120;29’455;50’549;52’805;4’690;8’370;8;148;5;106’641;9’934;0;19.6
Tessin;341’652;63’968;205’795;71’889;165’873;175’779;250’320;91’332;139’779;153’081;21’316;27’174;30;248;24;238’053;75’551;28’048;13.4
