KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
KantonNr;KantonKürzel;;;;;;;;;;;;;;;;;;;;
1;ZH;Zürich;1’408’575 ;275’787 ;898’516 ;234’272 ;697’854 ;710’721 ;1’057’472 ;351’103 ;628’429 ;593’635 ;63’408 ;119’275 ;81 ;3’538 ;209 ;1’083’494 ;315’507 ;9’574 ;18.50
2;BE;Bern;992’617 ;192’241 ;607’461 ;192’915 ;484’658 ;507’959 ;853’602 ;139’015 ;420’599 ;435’371 ;57’369 ;78’010 ;51 ;1’146 ;71 ;516’698 ;220’153 ;255’766 ;16.60
3;LU;Luzern;386’082 ;82’021 ;240’856 ;63’205 ;191’230 ;194’852 ;320’628 ;65’454 ;175’394 ;167’558 ;18’578 ;24’180 ;20 ;334 ;18 ;205’001 ;42’490 ;138’591 ;15.40
4;UR;Uri;35’693 ;7’512 ;21’512 ;6’669 ;18’206 ;17’487 ;31’938 ;3’755 ;15’294 ;16’748 ;2’041 ;1’584 ;6 ;17 ;3 ;21’486 ;9’990 ;4’217 ;12.90
5;SZ;Schwyz;149’830 ;31’223 ;95’054 ;23’553 ;76’602 ;73’228 ;120’856 ;28’974 ;65’129 ;67’218 ;6’752 ;10’595 ;6 ;123 ;7 ;90’739 ;31’684 ;27’407 ;16.90
6;OW;Obwalden;36’115 ;7’722 ;22’542 ;5’851 ;18’301 ;17’814 ;31’131 ;4’984 ;16’090 ;16’143 ;1’763 ;2’097 ;2 ;19 ;1 ;9’959 ;0 ;26’156 ;14.40
7;NW;Nidwalden;41’584 ;8’043 ;26’307 ;7’234 ;21’247 ;20’337 ;36’398 ;5’186 ;18’049 ;18’643 ;1’905 ;2’967 ;4 ;16 ;0 ;15’630 ;5’487 ;20’467 ;15.80
8;GL;Glarus;39’369 ;7’827 ;24’427 ;7’115 ;19’904 ;19’465 ;30’795 ;8’574 ;16’275 ;17’879 ;2’400 ;2’785 ;2 ;26 ;2 ;29’510 ;0 ;9’859 ;12.40
9;ZG;Zug;116’575 ;23’928 ;74’292 ;18’355 ;58’816 ;57’759 ;87’120 ;29’455 ;50’549 ;52’805 ;4’690 ;8’370 ;8 ;148 ;5 ;106’641 ;9’934 ;0 ;19.60
