KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
10;FR;Freiburg;291’395 ;68’379 ;181’009 ;42’007 ;145’326 ;146’069 ;233’105 ;58’290 ;130’145 ;126’821 ;13’272 ;20’834 ;21 ;282 ;20 ;94’830 ;121’083 ;75’482 ;14.60
11;SO;Solothurn;259’283 ;51’274 ;160’742 ;47’267 ;128’386 ;130’897 ;207’443 ;51’840 ;106’473 ;116’955 ;14’527 ;21’040 ;15 ;263 ;10 ;156’262 ;67’201 ;35’820 ;13.50
12;BS;Basel-Stadt;187’425 ;31’024 ;117’752 ;38’649 ;89’948 ;97’477 ;124’497 ;62’928 ;84’839 ;72’495 ;11’542 ;18’044 ;25 ;439 ;41 ;187’425 ;0 ;0 ;16.60
13;BL;Basel-Landschaft;276’537 ;53’963 ;166’202 ;56’372 ;135’244 ;141’293 ;220’923 ;55’614 ;109’164 ;129’830 ;15’431 ;21’674 ;8 ;412 ;18 ;188’224 ;81’312 ;7’001 ;16.90
14;SH;Schaffhausen;77’955 ;14’945 ;47’537 ;15’473 ;38’361 ;39’594 ;59’199 ;18’756 ;31’356 ;35’540 ;4’640 ;6’313 ;2 ;100 ;4 ;45’633 ;24’354 ;7’968 ;13.00
15;AR;Appenzell A. Rh.;53’438 ;11’222 ;32’537 ;9’679 ;26’872 ;26’566 ;45’602 ;7’836 ;22’608 ;23’712 ;2’908 ;4’170 ;1 ;36 ;3 ;15’222 ;25’724 ;12’492 ;12.90
16;AI;Appenzell I. Rh.;15’717 ;3’654 ;9’316 ;2’747 ;8’053 ;7’664 ;14’137 ;1’580 ;7’279 ;6’828 ;853 ;753 ;0 ;2 ;2 ;0 ;0 ;15’717 ;13.90
17;SG;St. Gallen;487’060 ;104’025 ;301’933 ;81’102 ;242’619 ;244’441 ;377’489 ;109’571 ;210’098 ;215’667 ;24’459 ;36’456 ;17 ;344 ;19 ;338’652 ;63’247 ;85’161 ;14.20
18;GR;Graubünden;193’920 ;36’464 ;121’040 ;36’416 ;96’578 ;97’342 ;160’390 ;33’530 ;82’519 ;86’683 ;10’819 ;13’748 ;20 ;120 ;11 ;63’043 ;22’593 ;108’284 ;16.00
19;AG;Aargau;627’340 ;129’822 ;396’284 ;101’234 ;313’708 ;313’632 ;484’088 ;143’252 ;263’171 ;287’963 ;29’286 ;46’309 ;28 ;559 ;24 ;342’980 ;190’615 ;93’745 ;15.20
20;TG;Thurgau;256’213 ;54’522 ;160’938 ;40’753 ;128’712 ;127’501 ;197’944 ;58’269 ;108’685 ;114’577 ;12’290 ;20’394 ;9 ;241 ;17 ;119’604 ;52’842 ;83’767 ;13.70
21;TI;Tessin;341’652 ;63’968 ;205’795 ;71’889 ;165’873 ;175’779 ;250’320 ;91’332 ;139’779 ;153’081 ;21’316 ;27’174 ;30 ;248 ;24 ;238’053 ;75’551 ;28’048 ;13.40
22;VD;Waadt;734’356 ;164’537 ;452’075 ;117’744 ;358’983 ;375’373 ;498’089 ;236’267 ;326’830 ;311’274 ;34’752 ;60’211 ;41 ;1’193 ;55 ;459’415 ;199’943 ;74’998 ;16.60
23;VS;Wallis;321’732 ;66’135 ;198’363 ;57’234 ;159’279 ;162’453 ;252’134 ;69’598 ;134’957 ;145’504 ;17’768 ;23’229 ;31 ;230 ;13 ;165’091 ;75’433 ;81’208 ;13.60
24;NE;Neuenburg;174’554 ;38’264 ;104’534 ;31’756 ;85’050 ;89’504 ;132’652 ;41’902 ;74’078 ;73’594 ;10’112 ;16’579 ;11 ;174 ;6 ;103’058 ;53’363 ;18’133 ;12.30
25;GE;Genf;463’101 ;98’910 ;288’464 ;75’727 ;223’737 ;239’364 ;279’417 ;183’684 ;209’989 ;189’290 ;20’261 ;42’444 ;58 ;992 ;67 ;422’161 ;40’940 ;0 ;18.50
26;JU;Jura;70’942 ;15’895 ;41’647 ;13’400 ;34’977 ;35’965 ;61’722 ;9’220 ;29’874 ;31’318 ;4’519 ;5’166 ;5 ;55 ;5 ;23’917 ;13’436 ;33’589 ;11.10
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
