KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
1;ZH;Zürich;1’564’662;310’609;984’746;269’307;780’245;784’417;1’136’406;428’256;743’633;616’559;62’153;135’482;80;5’686;1’017;1’208’239;346’094;10’329;19.7
2;BE;Bern;1’047’473;199’744;621’199;226’530;514’609;532’864;871’624;175’849;464’576;432’225;54’602;93’639;58;1’965;389;549’964;233’241;264’268;18
3;LU;Luzern;420’326;85’214;258’090;77’022;209’465;210’861;339’079;81’247;193’764;176’065;18’815;30’803;26;720;121;220’641;48’133;151’552;16.1
4;UR;Uri;37’047;7’366;21’709;7’972;18’844;18’203;32’143;4’904;15’941;16’965;1’981;2’112;6;37;5;22’782;9’933;4’332;13.7
5;SZ;Schwyz;163’689;31’400;101’748;30’541;84’061;79’628;126’855;36’834;71’384;71’177;7’192;13’603;5;284;41;99’436;35’041;29’212;17.4
6;OW;Obwalden;38’435;7’612;23’127;7’696;19’454;18’981;32’623;5’812;16’930;16’937;1’831;2’680;1;50;4;10’650;0;27’785;15
7;NW;Nidwalden;43’894;7’860;26’489;9’545;22’488;21’406;37’080;6’814;18’935;19’078;2’075;3’721;2;60;4;16’027;5’817;22’050;16.2
8;GL;Glarus;41’190;7’889;24’747;8’554;20’812;20’378;30’891;10’299;17’476;17’824;2’293;3’530;2;56;9;31’700;0;9’490;13.9
9;ZG;Zug;129’787;26’199;80’641;22’947;65’741;64’046;91’762;38’025;57’234;56’947;5’031;10’237;13;291;31;118’959;10’828;0;19.7
10;FR;Freiburg;329’809;72’292;203’367;54’150;165’058;164’751;253’020;76’789;154’328;132’883;13’684;28’252;26;546;79;106’310;137’898;85’601;15.2
11;SO;Solothurn;280’245;53’622;169’413;57’210;140’047;140’198;213’728;66’517;118’971;120’954;14’088;25’620;15;489;84;168’651;71’932;39’662;14
12;BS;Basel-Stadt;196’036;34’337;122’872;38’827;95’406;100’630;123’872;72’164;96’818;69’509;9’702;19’076;21;795;110;196’036;0;0;18
13;BL;Basel-Landschaft;292’817;56’267;170’238;66’312;143’638;149’179;223’507;69’310;120’231;130’332;15’822;25’616;11;715;88;198’771;87’178;6’868;17.3
14;SH;Schaffhausen;83’995;15’831;49’828;18’336;41’608;42’387;61’688;22’307;34’957;36’677;4’509;7’661;2;162;26;47’770;27’558;8’667;14.4
15;AR;Appenzell A. Rh.;55’585;11’313;32’862;11’410;27’993;27’592;46’368;9’217;23’785;23’954;2’763;4’973;1;99;10;15’679;26’853;13’053;14
16;AI;Appenzell I. Rh.;16’360;3’417;9’616;3’327;8’389;7’971;14’479;1’881;7’387;7’051;855;1’056;1;8;2;0;0;16’360;15.2
17;SG;St. Gallen;519’245;106’272;314’899;98’074;260’651;258’594;389’811;129’434;227’645;222’885;24’278;43’581;26;714;86;359’447;68’123;91’675;14.9
18;GR;Graubünden;201’376;35’248;121’024;45’104;101’045;100’331;162’520;38’856;86’183;86’950;10’737;17’216;14;239;34;66’054;24’667;110’655;15.7
19;AG;Aargau;703’086;142’961;430’594;129’531;353’433;349’653;521’525;181’561;303’700;308’147;30’890;58’936;35;1’157;197;384’558;212’438;106’090;15.8
20;TG;Thurgau;285’964;58’001;174’636;53’327;144’147;141’817;212’475;73’489;122’186;125’305;12’763;25’178;12;455;65;132’006;59’880;94’078;14.4
21;TI;Tessin;352’181;62’356;207’470;82’355;171’449;180’732;254’310;97’871;151’360;146’769;21’284;32’119;43;520;84;249’994;76’806;25’381;14.1
22;VD;Waadt;822’968;179’789;506’501;136’678;404’311;418’657;550’447;272’521;399’014;313’418;33’901;74’074;77;2’076;386;506’885;230’723;85’360;18
23;VS;Wallis;353’209;68’414;213’030;71’765;175’475;177’734;271’208;82’001;154’332;147’735;18’537;31’922;31;554;83;194’781;83’921;74’507;14
24;NE;Neuenburg;176’166;36’347;105’216;34’603;86’394;89’772;131’653;44’513;81’073;66’304;9’297;19’176;14;251;51;103’187;51’500;21’479;12.9
25;GE;Genf;509’448;107’378;317’976;84’094;246’918;262’530;302’804;206’644;249’203;187’906;20’066;50’158;102;1’680;320;464’118;45’330;0;19.7
26;JU;Jura;73’798;15’160;42’536;16’102;36’522;37’276;62’732;11’066;32’653;29’704;4’400;6’915;12;96;17;24’697;14’944;34’157;12.2
