KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
1;ZH;Zürich;1’504’346;296’854;952’121;255’371;748’276;756’070;1’102’014;402’332;693’245;613’343;62’962;129’082;90;4’914;655;1’158’518;335’631;10’197;18.7
2;BE;Bern;1’031’126;196’464;622’668;211’994;505’911;525’215;864’345;166’781;447’669;437’969;55’951;87’498;57;1’696;258;540’715;228’540;261’871;16.8
3;LU;Luzern;406’506;82’868;252’896;70’742;202’534;203’972;331’512;74’994;185’365;174’163;18’682;27’623;23;591;51;213’163;45’846;147’497;15.4
4;UR;Uri;36’299;7’359;21’656;7’284;18’522;17’777;31’928;4’371;15’541;16’869;1’991;1’855;7;31;5;22’323;9’795;4’181;13.1
5;SZ;Schwyz;157’301;30’745;99’111;27’445;80’618;76’683;124’130;33’171;68’164;69’693;6’999;12’216;5;207;14;95’518;33’446;28’337;16.3
6;OW;Obwalden;37’575;7’622;23’079;6’874;19’030;18’545;32’056;5’519;16’589;16’719;1’770;2’462;1;33;1;10’236;0;27’339;14
7;NW;Nidwalden;42’969;7’868;26’620;8’481;22’006;20’963;36’712;6’257;18’592;19’055;1’979;3’293;4;41;3;16’038;5’715;21’216;16.7
8;GL;Glarus;40’349;7’761;24’631;7’957;20’423;19’926;30’636;9’713;16’800;17’940;2’318;3’243;2;40;6;30’768;0;9’581;12.7
9;ZG;Zug;125’421;25’369;79’087;20’965;63’410;62’011;90’430;34’991;54’968;55’876;4’848;9’471;13;225;18;115’060;10’361;0;19.5
10;FR;Freiburg;315’074;70’790;195’404;48’880;157’874;157’200;244’143;70’931;143’931;132’264;13’480;24’910;30;408;43;103’666;132’449;78’959;14.8
11;SO;Solothurn;271’432;51’786;167’169;52’477;135’497;135’935;210’812;60’620;113’401;119’540;14’256;23’766;13;398;44;163’697;70’005;37’730;13.6
12;BS;Basel-Stadt;193’908;33’117;122’052;38’739;93’723;100’185;124’147;69’761;92’283;71’463;10’613;18’774;23;682;66;193’908;0;0;16.8
13;BL;Basel-Landschaft;287’023;55’109;169’687;62’227;140’771;146’252;222’343;64’680;115’488;131’317;15’650;23’879;10;624;53;195’457;84’629;6’937;16.7
14;SH;Schaffhausen;81’351;15’302;48’973;17’076;40’251;41’100;60’185;21’166;33’340;36’151;4’598;7’111;2;138;11;46’786;26’260;8’305;13.5
15;AR;Appenzell A. Rh.;55’178;11’150;33’438;10’590;27’879;27’299;46’181;8’997;23’452;24’134;2’844;4’661;2;78;7;15’780;26’482;12’916;12.8
16;AI;Appenzell I. Rh.;16’105;3’479;9’613;3’013;8’290;7’815;14’271;1’834;7’319;7’029;855;887;1;10;3;0;0;16’105;15
17;SG;St. Gallen;504’686;104’151;309’810;90’725;252’710;251’976;383’755;120’931;218’391;220’999;24’270;40’353;25;583;46;349’971;66’182;88’533;14.4
18;GR;Graubünden;197’888;35’900;120’638;41’350;99’050;98’838;160’985;36’903;83’843;87’490;10’729;15’615;12;177;17;64’286;24’278;109’324;15.3
19;AG;Aargau;670’988;135’945;418’619;116’424;337’178;333’810;503’709;167’279;285’025;301’472;30’228;53’141;31;955;123;366’041;204’615;100’332;15.1
20;TG;Thurgau;273’801;55’725;170’831;47’245;137’823;135’978;206’118;67’683;115’956;121’914;12’416;23’119;10;348;35;126’811;56’985;90’005;13.9
21;TI;Tessin;353’709;64’769;210’041;78’899;172’505;181’204;255’122;98’587;148’100;153’870;21’396;29’849;41;408;43;251’864;76’000;25’845;13.5
22;VD;Waadt;793’129;174’446;488’905;129’778;389’504;403’625;527’117;266’012;368’315;319’792;34’382;68’554;57;1’786;216;491’022;219’482;82’625;17.1
23;VS;Wallis;341’463;67’825;207’639;65’999;169’162;172’301;263’082;78’381;145’510;149’095;18’326;28’051;35;378;52;187’341;81’289;72’833;13.9
24;NE;Neuenburg;177’964;37’939;106’567;33’458;87’093;90’871;132’811;45’153;78’725;71’046;9’692;18’242;14;212;32;103’991;56’005;17’968;11.7
25;GE;Genf;495’249;104’604;309’359;81’286;240’114;255’135;296’675;198’574;233’719;192’268;20’355;47’242;71;1’394;190;451’065;44’184;0;18.5
26;JU;Jura;73’290;15’547;42’657;15’086;36’280;37’010;62’519;10’771;31’641;30’897;4’527;6’128;9;78;9;25’018;14’044;34’228;11.3
