KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
KantonNr;KantonKürzel;;;;;;;;;;;;;;;;;;;;
1;ZH;Zürich;1’539’275 ;304’095 ;972’784 ;262’396 ;766’679 ;772’596 ;1’122’495 ;416’780 ;718’884 ;619’082 ;62’535 ;132’491 ;85 ;5’304 ;839 ;1’190’339 ;338’757 ;10’179 ;19.30
2;BE;Bern;1’039’474 ;197’741 ;622’788 ;218’945 ;510’170 ;529’304 ;867’188 ;172’286 ;455’044 ;436’650 ;55’218 ;90’309 ;50 ;1’869 ;313 ;546’207 ;230’693 ;262’574 ;17.70
3;LU;Luzern;413’120 ;83’814 ;255’571 ;73’735 ;205’976 ;207’144 ;335’508 ;77’612 ;188’877 ;175’800 ;18’629 ;29’020 ;24 ;682 ;76 ;217’191 ;46’639 ;149’290 ;15.90
4;UR;Uri;36’703 ;7’357 ;21’715 ;7’631 ;18’739 ;17’964 ;32’084 ;4’619 ;15’739 ;16’983 ;1’982 ;1’955 ;6 ;33 ;5 ;22’656 ;9’859 ;4’188 ;13.70
5;SZ;Schwyz;160’480 ;30’944 ;100’405 ;29’131 ;82’213 ;78’267 ;125’367 ;35’113 ;69’530 ;70’689 ;7’055 ;12’907 ;6 ;257 ;32 ;97’586 ;34’089 ;28’805 ;17.00
6;OW;Obwalden;37’930 ;7’590 ;23’018 ;7’322 ;19’158 ;18’772 ;32’361 ;5’569 ;16’648 ;16’906 ;1’803 ;2’529 ;2 ;39 ;2 ;10’458 ;0 ;27’472 ;14.30
7;NW;Nidwalden;43’087 ;7’798 ;26’281 ;9’008 ;22’053 ;21’034 ;36’719 ;6’368 ;18’562 ;18’953 ;2’021 ;3’498 ;3 ;44 ;4 ;15’992 ;5’776 ;21’319 ;16.50
8;GL;Glarus;40’590 ;7’791 ;24’537 ;8’262 ;20’546 ;20’044 ;30’765 ;9’825 ;16’950 ;17’927 ;2’295 ;3’359 ;3 ;51 ;5 ;31’137 ;0 ;9’453 ;13.00
9;ZG;Zug;127’642 ;25’901 ;79’665 ;22’076 ;64’594 ;63’048 ;91’475 ;36’167 ;55’820 ;56’635 ;4’980 ;9’919 ;13 ;243 ;29 ;117’143 ;10’499 ;0 ;20.10
10;FR;Freiburg;321’783 ;71’380 ;198’907 ;51’496 ;161’153 ;160’630 ;248’327 ;73’456 ;148’134 ;133’187 ;13’546 ;26’342 ;21 ;479 ;62 ;105’150 ;135’458 ;81’175 ;14.50
11;SO;Solothurn;275’247 ;52’352 ;168’215 ;54’680 ;137’659 ;137’588 ;212’104 ;63’143 ;115’759 ;120’186 ;14’173 ;24’580 ;15 ;443 ;69 ;166’058 ;70’477 ;38’712 ;13.90
12;BS;Basel-Stadt;195’844 ;33’969 ;123’115 ;38’760 ;94’997 ;100’847 ;124’085 ;71’759 ;94’518 ;71’139 ;10’209 ;19’115 ;24 ;752 ;82 ;195’844 ;0 ;0 ;17.70
13;BL;Basel-Landschaft;289’468 ;55’458 ;169’810 ;64’200 ;141’890 ;147’578 ;222’615 ;66’853 ;117’224 ;131’112 ;15’749 ;24’605 ;10 ;692 ;74 ;196’919 ;85’694 ;6’855 ;17.00
14;SH;Schaffhausen;82’348 ;15’403 ;49’301 ;17’644 ;40’768 ;41’580 ;60’891 ;21’457 ;33’798 ;36’511 ;4’567 ;7’308 ;1 ;146 ;17 ;47’071 ;26’831 ;8’446 ;13.40
15;AR;Appenzell A. Rh.;55’445 ;11’198 ;33’195 ;11’052 ;27’938 ;27’507 ;46’319 ;9’126 ;23’639 ;24’162 ;2’774 ;4’779 ;1 ;82 ;8 ;15’763 ;26’713 ;12’969 ;13.40
16;AI;Appenzell I. Rh.;16’128 ;3’405 ;9’566 ;3’157 ;8’303 ;7’825 ;14’312 ;1’816 ;7’285 ;7’025 ;853 ;951 ;1 ;12 ;1 ;0 ;0 ;16’128 ;15.70
17;SG;St. Gallen;510’734 ;104’584 ;311’506 ;94’644 ;256’039 ;254’695 ;385’916 ;124’818 ;221’464 ;222’293 ;24’356 ;41’843 ;29 ;644 ;71 ;354’003 ;67’039 ;89’692 ;14.50
18;GR;Graubünden;199’021 ;35’381 ;120’467 ;43’173 ;99’707 ;99’314 ;161’639 ;37’382 ;84’525 ;87’117 ;10’709 ;16’403 ;15 ;221 ;27 ;64’720 ;24’666 ;109’635 ;15.80
19;AG;Aargau;685’845 ;138’809 ;424’024 ;123’012 ;344’733 ;341’112 ;512’350 ;173’495 ;292’903 ;305’201 ;30’525 ;55’944 ;32 ;1’077 ;147 ;374’960 ;208’262 ;102’623 ;15.50
20;TG;Thurgau;279’547 ;56’613 ;172’783 ;50’151 ;140’885 ;138’662 ;209’234 ;70’313 ;118’600 ;123’946 ;12’503 ;24’044 ;12 ;391 ;48 ;129’418 ;57’984 ;92’145 ;14.00
21;TI;Tessin;351’491 ;63’125 ;207’648 ;80’718 ;171’141 ;180’350 ;254’633 ;96’858 ;148’299 ;150’508 ;21’273 ;30’848 ;41 ;463 ;56 ;250’146 ;76’025 ;25’320 ;13.70
22;VD;Waadt;805’098 ;176’324 ;495’399 ;133’375 ;395’189 ;409’909 ;539’414 ;265’684 ;379’802 ;317’927 ;34’103 ;70’898 ;63 ;1’998 ;283 ;496’862 ;224’782 ;83’454 ;17.40
23;VS;Wallis;345’525 ;67’783 ;208’907 ;68’835 ;171’254 ;174’271 ;267’503 ;78’022 ;148’368 ;148’410 ;18’435 ;29’759 ;32 ;436 ;69 ;189’532 ;83’083 ;72’910 ;14.00
