Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2015;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
;;0–19;20–64;65 und mehr;Mann;Frau;Schweizer;Ausländer ;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;In eingetragener Partnerschaft;Aufgelöste Partnerschaft;Städtischer;Einflussgebiet;Gebiete ausser-;
;;;;;;;;;;;;;;;;Kernraum;städtischer Kerne;halb des Einflusses;
;;;;;;;;;;;;;;;;;;städtischer Kerne;2015
Schweiz;8’327’126;1’675’503;5’156’571;1’495’052;4’121’471;4’205’655;6’278’459;2’048’667;3’650’651;3’568’702;407’151;684’114;563;14’306;1’446;5’224’160;1’812’583;1’290’383;
Genferseeregion;1’593’839;340’411;984’543;268’885;779’927;813’912;1’059’872;533’967;720’102;659’175;73’197;137’698;146;3’139;331;1’094’617;335’853;163’369;
Waadt;773’407;170’633;476’817;125’957;379’074;394’333;513’739;259’668;353’300;318’102;34’604;65’634;51;1’533;159;479’658;213’338;80’411;16.3
Wallis;335’696;67’347;205’413;62’936;166’426;169’270;258’612;77’084;142’216;148’810;18’126;26’148;33;312;35;173’187;79’551;82’958;13.3
Genf;484’736;102’431;302’313;79’992;234’427;250’309;287’521;197’215;224’586;192’263;20’467;45’916;62;1’294;137;441’772;42’964;0;18.1
Espace Mittelland;1’842’251;369’495;1’123’767;348’989;907’412;934’839;1’504’471;337’780;795’493;791’151;98’791;153’932;124;2’446;274;922’226;490’336;429’689;
Bern;1’017’483;194’111;618’383;204’989;498’258;519’225;860’017;157’466;437’186;437’850;56’477;84’190;55;1’522;177;531’765;225’656;260’062;16.4
Freiburg;307’461;70’214;191’105;46’142;153’729;153’732;240’182;67’279;138’940;131’243;13’395;23’452;33;349;40;100’331;126’895;80’235;14.2
Solothurn;266’418;51’266;164’739;50’413;132’439;133’979;209’355;57’063;110’681;118’113;14’493;22’736;15;346;31;160’616;68’851;36’951;13.4
Neuenburg;178’107;38’117;107’066;32’924;87’021;91’086;132’556;45’551;77’637;72’597;9’888;17’781;13;169;20;104’592;55’172;18’343;11.5
Jura;72’782;15’787;42’474;14’521;35’965;36’817;62’361;10’421;31’049;31’348;4’538;5’773;8;60;6;24’922;13’762;34’098;10.6
