Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2019;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
;;0–19;20–64;65 und mehr;Mann;Frau;Schweizer;Ausländer ;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;In eingetragener Partnerschaft;Aufgelöste Partnerschaft;Städtischer;Einflussgebiet;Gebiete ausser-;
;;;;;;;;;;;;;;;;Kernraum;städtischer Kerne;halb des Einflusses;
;;;;;;;;;;;;;;;;;;städtischer Kerne;2019
Schweiz;8’606’033;1’717’198;5’283’035;1’605’800;4’268’863;4’337’170;6’430’658;2’175’375;3’843’439;3’599’225;404’591;737’094;596;18’231;2’606;5’422’227;1’874’960;1’308’846;
Genferseeregion;1’654’751;350’184;1’019’602;284’965;810’627;844’124;1’109’609;545’142;769’856;657’991;72’804;149’287;179;3’995;588;1’145’994;352’393;156’364;
Waadt;805’098;176’324;495’399;133’375;395’189;409’909;539’414;265’684;379’802;317’927;34’103;70’898;63;1’998;283;496’862;224’782;83’454;17.4
Wallis;345’525;67’783;208’907;68’835;171’254;174’271;267’503;78’022;148’368;148’410;18’435;29’759;32;436;69;189’532;83’083;72’910;14
Genf;504’128;106’077;315’296;82’755;244’184;259’944;302’692;201’436;241’686;191’654;20’266;48’630;84;1’561;236;459’600;44’528;0;19.5
Espace Mittelland;1’886’584;373’779;1’138’042;374’763;931’877;954’707;1’522’281;364’303;830’318;789’245;96’969;166’289;109;3’103;495;944’887;503’734;437’963;
Bern;1’039’474;197’741;622’788;218’945;510’170;529’304;867’188;172’286;455’044;436’650;55’218;90’309;50;1’869;313;546’207;230’693;262’574;17.7
Freiburg;321’783;71’380;198’907;51’496;161’153;160’630;248’327;73’456;148’134;133’187;13’546;26’342;21;479;62;105’150;135’458;81’175;14.5
Solothurn;275’247;52’352;168’215;54’680;137’659;137’588;212’104;63’143;115’759;120’186;14’173;24’580;15;443;69;166’058;70’477;38’712;13.9
Neuenburg;176’496;36’989;105’527;33’980;86’495;90’001;131’913;44’583;79’300;68’834;9’493;18’588;13;228;40;102’675;52’364;21’457;12.3
Jura;73’584;15’317;42’605;15’662;36’400;37’184;62’749;10’835;32’081;30’388;4’539;6’470;10;84;11;24’797;14’742;34’045;11.5
