Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2019;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
Nordwestschweiz;1’171’157;228’236;716’949;225’972;581’620;589’537;859’050;312’107;504’645;507’452;56’483;99’664;66;2’521;303;767’723;293’956;109’478;
Basel-Stadt;195’844;33’969;123’115;38’760;94’997;100’847;124’085;71’759;94’518;71’139;10’209;19’115;24;752;82;195’844;0;0;17.7
Basel-Landschaft;289’468;55’458;169’810;64’200;141’890;147’578;222’615;66’853;117’224;131’112;15’749;24’605;10;692;74;196’919;85’694;6’855;17
Aargau;685’845;138’809;424’024;123’012;344’733;341’112;512’350;173’495;292’903;305’201;30’525;55’944;32;1’077;147;374’960;208’262;102’623;15.5
Zürich;1’539’275;304’095;972’784;262’396;766’679;772’596;1’122’495;416’780;718’884;619’082;62’535;132’491;85;5’304;839;1’190’339;338’757;10’179;19.3
Ostschweiz;1’183’813;234’375;721’355;228’083;594’186;589’627;909’076;274’737;506’261;518’981;58’057;98’687;62;1’547;177;642’112;203’233;338’468;
Glarus;40’590;7’791;24’537;8’262;20’546;20’044;30’765;9’825;16’950;17’927;2’295;3’359;3;51;5;31’137;0;9’453;13
Schaffhausen;82’348;15’403;49’301;17’644;40’768;41’580;60’891;21’457;33’798;36’511;4’567;7’308;1;146;17;47’071;26’831;8’446;13.4
Appenzell A. Rh.;55’445;11’198;33’195;11’052;27’938;27’507;46’319;9’126;23’639;24’162;2’774;4’779;1;82;8;15’763;26’713;12’969;13.4
Appenzell I. Rh.;16’128;3’405;9’566;3’157;8’303;7’825;14’312;1’816;7’285;7’025;853;951;1;12;1;0;0;16’128;15.7
St. Gallen;510’734;104’584;311’506;94’644;256’039;254’695;385’916;124’818;221’464;222’293;24’356;41’843;29;644;71;354’003;67’039;89’692;14.5
Graubünden;199’021;35’381;120’467;43’173;99’707;99’314;161’639;37’382;84’525;87’117;10’709;16’403;15;221;27;64’720;24’666;109’635;15.8
Thurgau;279’547;56’613;172’783;50’151;140’885;138’662;209’234;70’313;118’600;123’946;12’503;24’044;12;391;48;129’418;57’984;92’145;14
Zentralschweiz;818’962;163’404;506’655;148’903;412’733;406’229;653’514;165’448;365’176;355’966;36’470;59’828;54;1’298;148;481’026;106’862;231’074;
Luzern;413’120;83’814;255’571;73’735;205’976;207’144;335’508;77’612;188’877;175’800;18’629;29’020;24;682;76;217’191;46’639;149’290;15.9
Uri;36’703;7’357;21’715;7’631;18’739;17’964;32’084;4’619;15’739;16’983;1’982;1’955;6;33;5;22’656;9’859;4’188;13.7
Schwyz;160’480;30’944;100’405;29’131;82’213;78’267;125’367;35’113;69’530;70’689;7’055;12’907;6;257;32;97’586;34’089;28’805;17
Obwalden;37’930;7’590;23’018;7’322;19’158;18’772;32’361;5’569;16’648;16’906;1’803;2’529;2;39;2;10’458;0;27’472;14.3
Nidwalden;43’087;7’798;26’281;9’008;22’053;21’034;36’719;6’368;18’562;18’953;2’021;3’498;3;44;4;15’992;5’776;21’319;16.5
Zug;127’642;25’901;79’665;22’076;64’594;63’048;91’475;36’167;55’820;56’635;4’980;9’919;13;243;29;117’143;10’499;0;20.1
Tessin;351’491;63’125;207’648;80’718;171’141;180’350;254’633;96’858;148’299;150’508;21’273;30’848;41;463;56;250’146;76’025;25’320;13.7
