Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2022;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
Nordwestschweiz;1’202’435;236’134;727’022;239’279;598’131;604’304;872’250;330’185;528’247;509’976;56’395;105’374;66;1’905;437;785’150;309’970;107’315;
Basel-Stadt;196’786;34’516;123’376;38’894;95’937;100’849;123’465;73’321;98’160;69’212;9’522;19’145;21;598;121;196’786;0;0;18.2
Basel-Landschaft;294’417;56’709;170’422;67’286;144’441;149’976;223’876;70’541;121’799;130’051;15’814;26’126;13;504;104;199’822;87’691;6’904;17.4
Aargau;711’232;144’909;433’224;133’099;357’753;353’479;524’909;186’323;308’288;310’713;31’059;60’103;32;803;212;388’542;222’279;100’411;15.9
Zürich;1’579’967;312’392;994’624;272’951;788’846;791’121;1’141’651;438’316;756’713;619’417;61’890;136’723;83;3’970;1’124;1’221’626;347’932;10’409;20
Ostschweiz;1’217’015;240’361;732’845;243’809;612’142;604’873;922’217;294’798;527’723;523’754;58’432;105’541;54;1’188;280;660’548;209’104;347’363;
Glarus;41’471;7’968;24’758;8’745;20’975;20’496;30’918;10’553;17’630;17’889;2’258;3’638;2;44;9;31’943;0;9’528;14
Schaffhausen;85’214;16’063;50’430;18’721;42’318;42’896;62’066;23’148;35’698;36’956;4’518;7’887;3;121;27;48’606;27’907;8’701;13.9
Appenzell A. Rh.;55’759;11’365;32’747;11’647;28’114;27’645;46’395;9’364;24’016;23’935;2’744;4’983;1;66;14;15’744;26’922;13’093;13.8
Appenzell I. Rh.;16’416;3’392;9’674;3’350;8’408;8’008;14’510;1’906;7’420;7’045;855;1’083;1;9;3;0;0;16’416;15.9
St. Gallen;525’967;107’360;318’282;100’325;264’521;261’446;392’009;133’958;231’778;224’539;24’426;44’592;20;470;111;364’320;68’936;92’711;15.1
Graubünden;202’538;35’349;121’064;46’125;101’760;100’778;162’686;39’852;87’011;86’944;10’737;17’628;15;157;42;66’483;24’663;111’392;15.8
Thurgau;289’650;58’864;175’890;54’896;146’046;143’604;213’633;76’017;124’170;126’446;12’894;25’730;12;321;74;133’452;60’676;95’522;14.6
Zentralschweiz;841’372;166’893;514’866;159’613;424’681;416’691;661’858;179’514;379’110;359’041;37’017;64’854;52;1’043;222;493’605;110’895;236’872;
Luzern;424’851;85’932;260’162;78’757;212’021;212’830;340’582;84’269;196’755;176’873;18’845;31’692;27;520;127;223’366;48’728;152’757;16.3
Uri;37’317;7’362;21’811;8’144;19’007;18’310;32’224;5’093;16’026;17’082;1’973;2’200;6;25;5;22’995;9’998;4’324;14.3
Schwyz;164’920;31’575;101’903;31’442;84’722;80’198;127’120;37’800;72’025;71’493;7’227;13’926;4;197;44;100’253;35’258;29’409;17.4
Obwalden;38’700;7’638;23’137;7’925;19’574;19’126;32’652;6’048;17’104;16’975;1’823;2’767;1;25;4;10’654;0;28’046;14.5
Nidwalden;44’420;7’906;26’689;9’825;22’783;21’637;37’150;7’270;19’240;19’214;2’064;3’839;2;44;4;16’062;6’022;22’336;16.5
Zug;131’164;26’480;81’164;23’520;66’574;64’590;92’130;39’034;57’960;57’404;5’085;10’430;12;232;38;120’275;10’889;0;20
Tessin;354’023;62’193;208’340;83’490;172’337;181’686;254’597;99’426;153’195;146’184;21’357;32’761;43;389;92;251’844;76’920;25’259;14.2
