Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2013;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand;;;;;;;Typologie: Raum mit städtischem Charakter 1;;;Preis pro m2
;;0–19;20–64;65 und mehr;Mann;Frau;Schweizer;Ausländer ;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;In eingetragener Partnerschaft;Aufgelöste Partnerschaft;Städtischer;Einflussgebiet;Gebiete ausser-;
;;;;;;;;;;;;;;;;Kernraum;städtischer Kerne;halb des Einflusses;
;;;;;;;;;;;;;;;;;;städtischer Kerne;2013
Nordwestschweiz;1’104’353;216’199;687’237;200’917;545’842;558’511;833’402;270’951;464’642;493’279;56’435;88’212;65;1’613;107;726’714;275’771;101’868;
Basel-Stadt;189’335;31’437;119’089;38’809;91’124;98’211;124’478;64’857;86’521;72’554;11’374;18’293;26;518;49;189’335;0;0;16.7
Basel-Landschaft;278’656;54’044;166’891;57’721;136’280;142’376;221’006;57’650;110’415;130’095;15’488;22’177;8;449;24;189’594;82’024;7’038;16.5
Aargau;636’362;130’718;401’257;104’387;318’438;317’924;487’918;148’444;267’706;290’630;29’573;47’742;31;646;34;347’785;193’747;94’830;15.5
Zürich;1’425’538;279’106;907’597;238’835;706’789;718’749;1’064’112;361’426;640’145;596’614;63’246;121’378;92;3’783;280;1’096’851;318’974;9’713;18.8
Ostschweiz;1’134’781;232’213;704’052;198’516;567’320;567’461;888’862;245’919;483’752;504’564;58’320;87’063;48;973;61;617’960;190’930;325’891;
Glarus;39’593;7’799;24’514;7’280;20’061;19’532;30’795;8’798;16’391;17’897;2’375;2’896;2;30;2;29’757;0;9’836;13.1
Schaffhausen;78’783;15’014;47’968;15’801;38’849;39’934;59’350;19’433;31’847;35’611;4’672;6’533;2;115;3;45’975;24’769;8’039;13.3
Appenzell A. Rh.;53’691;11’087;32’762;9’842;27’051;26’640;45’645;8’046;22’812;23’669;2’873;4’285;1;50;1;15’342;25’825;12’524;12.9
Appenzell I. Rh.;15’778;3’611;9’354;2’813;8’082;7’696;14’124;1’654;7’301;6’833;849;790;0;5;0;0;0;15’778;13.7
St. Gallen;491’699;103’824;304’496;83’379;245’249;246’450;379’074;112’625;212’153;217’246;24’433;37’452;17;372;26;342’097;63’752;85’850;14.4
Graubünden;194’959;36’264;121’272;37’423;97’225;97’734;160’440;34’519;82’946;86’995;10’791;14’065;17;136;9;63’422;22’838;108’699;16.1
Thurgau;260’278;54’614;163’686;41’978;130’803;129’475;199’434;60’844;110’302;116’313;12’327;21’042;9;265;20;121’367;53’746;85’165;13.5
Zentralschweiz;774’123;160’439;485’422;128’262;388’671;385’452;632’025;142’098;344’683;341’404;35’863;51’315;44;777;37;454’349;100’603;219’171;
Luzern;390’349;82’017;243’575;64’757;193’382;196’967;323’029;67’320;177’622;168’749;18’645;24’898;20;395;20;207’016;43’066;140’267;15.5
Uri;35’865;7’465;21’624;6’776;18’325;17’540;31’887;3’978;15’352;16’788;2’049;1’649;5;19;3;21’536;10’070;4’259;14.6
Schwyz;151’396;31’108;95’980;24’308;77’456;73’940;121’710;29’686;65’808;67’671;6’795;10’960;6;150;6;91’887;31’910;27’599;16.9
Obwalden;36’507;7’674;22’791;6’042;18’508;17’999;31’414;5’093;16’255;16’290;1’778;2’162;0;21;1;10’084;0;26’423;15.4
Nidwalden;41’888;7’976;26’377;7’535;21’405;20’483;36’410;5’478;18’148;18’801;1’915;3’000;4;20;0;15’687;5’578;20’623;16.4
Zug;118’118;24’199;75’075;18’844;59’595;58’523;87’575;30’543;51’498;53’105;4’681;8’646;9;172;7;108’139;9’979;0;19.1
Tessin;346’539;64’664;208’185;73’690;168’446;178’093;252’173;94’366;142’516;154’454;21’335;27’890;30;280;34;241’796;76’703;28’040;13.7
