KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
KantonNr;KantonKürzel;;;;;;;;;;;;;;;;;;;;
1;ZH;Zürich;1’446’354 ;283’522 ;919’491 ;243’341 ;717’702 ;728’652 ;1’073’065 ;373’289 ;653’715 ;601’366 ;63’180 ;123’533 ;87 ;4’065 ;376 ;1’113’403 ;323’184 ;9’767 ;18.80
2;BE;Bern;1’009’418 ;193’024 ;615’175 ;201’219 ;494’008 ;515’410 ;857’915 ;151’503 ;431’220 ;437’492 ;56’698 ;82’380 ;56 ;1’408 ;143 ;527’253 ;223’515 ;258’650 ;16.80
3;LU;Luzern;394’604 ;82’193 ;246’105 ;66’306 ;195’965 ;198’639 ;325’336 ;69’268 ;179’461 ;170’366 ;18’560 ;25’734 ;23 ;426 ;27 ;208’796 ;43’606 ;142’202 ;15.60
4;UR;Uri;36’008 ;7’432 ;21’672 ;6’904 ;18’399 ;17’609 ;31’864 ;4’144 ;15’352 ;16’874 ;2’034 ;1’709 ;7 ;26 ;3 ;21’744 ;9’996 ;4’268 ;13.60
5;SZ;Schwyz;152’759 ;30’943 ;96’701 ;25’115 ;78’152 ;74’607 ;122’299 ;30’460 ;66’306 ;68’053 ;6’899 ;11’326 ;7 ;159 ;7 ;92’786 ;32’230 ;27’743 ;17.40
6;OW;Obwalden;36’834 ;7’697 ;22’853 ;6’284 ;18’693 ;18’141 ;31’609 ;5’225 ;16’330 ;16’465 ;1’777 ;2’236 ;0 ;24 ;1 ;10’232 ;0 ;26’602 ;14.60
7;NW;Nidwalden;42’080 ;7’859 ;26’407 ;7’814 ;21’481 ;20’599 ;36’363 ;5’717 ;18’201 ;18’825 ;1’935 ;3’097 ;4 ;18 ;0 ;15’669 ;5’611 ;20’800 ;16.80
8;GL;Glarus;39’794 ;7’739 ;24’572 ;7’483 ;20’136 ;19’658 ;30’798 ;8’996 ;16’483 ;17’954 ;2’346 ;2’969 ;3 ;37 ;2 ;30’033 ;0 ;9’761 ;12.90
9;ZG;Zug;120’089 ;24’419 ;76’225 ;19’445 ;60’633 ;59’456 ;88’446 ;31’643 ;52’446 ;53’871 ;4’724 ;8’845 ;9 ;185 ;9 ;110’085 ;10’004 ;0 ;19.90
10;FR;Freiburg;303’377 ;69’985 ;188’624 ;44’768 ;151’587 ;151’790 ;238’449 ;64’928 ;136’627 ;130’250 ;13’394 ;22’706 ;29 ;331 ;32 ;99’070 ;125’468 ;78’839 ;15.20
11;SO;Solothurn;263’719 ;50’998 ;163’222 ;49’499 ;131’036 ;132’683 ;208’749 ;54’970 ;108’942 ;117’721 ;14’420 ;22’280 ;17 ;317 ;20 ;158’965 ;68’210 ;36’544 ;14.00
12;BS;Basel-Stadt;190’580 ;31’708 ;120’006 ;38’866 ;91’760 ;98’820 ;124’274 ;66’306 ;88’082 ;72’227 ;11’220 ;18’400 ;26 ;564 ;55 ;190’580 ;0 ;0 ;16.80
13;BL;Basel-Landschaft;281’301 ;54’274 ;168’014 ;59’013 ;137’719 ;143’582 ;221’378 ;59’923 ;111’940 ;130’680 ;15’530 ;22’590 ;8 ;516 ;30 ;191’248 ;82’977 ;7’076 ;17.00
14;SH;Schaffhausen;79’417 ;15’049 ;48’304 ;16’064 ;39’111 ;40’306 ;59’542 ;19’875 ;32’161 ;35’823 ;4’629 ;6’684 ;1 ;115 ;3 ;46’258 ;25’113 ;8’046 ;14.20
15;AR;Appenzell A. Rh.;54’064 ;11’061 ;32’947 ;10’056 ;27’271 ;26’793 ;45’763 ;8’301 ;22’884 ;23’857 ;2’892 ;4’364 ;2 ;63 ;2 ;15’512 ;25’925 ;12’627 ;13.10
16;AI;Appenzell I. Rh.;15’854 ;3’560 ;9’429 ;2’865 ;8’121 ;7’733 ;14’169 ;1’685 ;7’314 ;6’888 ;832 ;811 ;1 ;6 ;2 ;0 ;0 ;15’854 ;14.10
17;SG;St. Gallen;495’824 ;103’606 ;306’925 ;85’293 ;247’516 ;248’308 ;380’500 ;115’324 ;213’956 ;218’680 ;24’388 ;38’323 ;19 ;427 ;27 ;345’076 ;64’295 ;86’453 ;15.00
18;GR;Graubünden;195’886 ;36’216 ;121’197 ;38’473 ;97’752 ;98’134 ;160’497 ;35’389 ;83’175 ;87’244 ;10’767 ;14’518 ;14 ;157 ;8 ;63’964 ;23’158 ;108’764 ;15.40
19;AG;Aargau;645’277 ;131’899 ;406’026 ;107’352 ;323’221 ;322’056 ;491’344 ;153’933 ;271’914 ;293’481 ;29’812 ;49’241 ;29 ;741 ;47 ;352’263 ;196’965 ;96’049 ;15.50
20;TG;Thurgau;263’733 ;54’703 ;165’714 ;43’316 ;132’602 ;131’131 ;200’849 ;62’884 ;111’665 ;117’791 ;12’339 ;21’627 ;10 ;275 ;25 ;122’659 ;54’520 ;86’554 ;13.80
21;TI;Tessin;350’363 ;64’890 ;209’924 ;75’549 ;170’541 ;179’822 ;253’633 ;96’730 ;144’627 ;155’370 ;21’411 ;28’566 ;34 ;316 ;37 ;244’556 ;77’714 ;28’093 ;13.90
22;VD;Waadt;761’446 ;168’899 ;468’935 ;123’612 ;373’187 ;388’259 ;509’124 ;252’322 ;344’572 ;316’709 ;34’765 ;63’790 ;50 ;1’408 ;126 ;473’240 ;209’112 ;79’094 ;17.20
23;VS;Wallis;331’763 ;67’069 ;203’445 ;61’249 ;164’399 ;167’364 ;256’485 ;75’278 ;140’038 ;148’109 ;18’051 ;25’211 ;37 ;281 ;22 ;170’951 ;78’286 ;82’526 ;14.30
24;NE;Neuenburg;177’327 ;38’257 ;106’437 ;32’633 ;86’540 ;90’787 ;132’575 ;44’752 ;76’527 ;73’138 ;9’985 ;17’490 ;10 ;166 ;11 ;104’447 ;54’655 ;18’225 ;12.50
25;GE;Genf;477’385 ;100’889 ;297’676 ;78’820 ;230’606 ;246’779 ;281’897 ;195’488 ;219’302 ;191’276 ;20’439 ;45’003 ;61 ;1’186 ;111 ;434’887 ;42’498 ;0 ;18.70
26;JU;Jura;72’410 ;15’861 ;42’323 ;14’226 ;35’742 ;36’668 ;62’284 ;10’126 ;30’746 ;31’416 ;4’556 ;5’614 ;5 ;65 ;6 ;24’699 ;13’696 ;34’015 ;11.80
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
