Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2018;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
;;0–19;20–64;65 und mehr;Mann;Frau;Schweizer;Ausländer ;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;In eingetragener Partnerschaft;Aufgelöste Partnerschaft;Städtischer;Einflussgebiet;Gebiete ausser-;
;;;;;;;;;;;;;;;;Kernraum;städtischer Kerne;halb des Einflusses;
;;;;;;;;;;;;;;;;;;städtischer Kerne;2018
Schweiz;8’544’527;1’709’458;5’257’768;1’577’301;4’237’121;4’307’406;6’396’252;2’148’275;3’797’529;3’597’800;405’348;723’331;598;17’392;2’305;5’380’353;1’861’193;1’302’981;
Genferseeregion;1’642’580;349’186;1’012’587;280’807;804’808;837’772;1’099’297;543’283;758’587;660’079;72’910;146’485;171;3’775;522;1’137’812;348’868;155’900;
Waadt;799’145;175’670;492’075;131’400;392’529;406’616;533’878;265’267;374’074;319’150;34’214;69’485;60;1’892;247;493’915;222’272;82’958;17.1
Wallis;343’955;68’005;208’500;67’450;170’431;173’524;265’879;78’076;147’060;149’070;18’370;28’941;33;408;56;188’756;82’257;72’942;14
Genf;499’480;105’511;312’012;81’957;241’848;257’632;299’540;199’940;237’453;191’859;20’326;48’059;78;1’475;219;455’141;44’339;0;18.9
Espace Mittelland;1’877’154;373’098;1’136’002;368’054;926’783;950’371;1’518’454;358’700;822’245;790’588;97’441;163’311;113;2’955;460;940’874;499’938;436’342;
Bern;1’034’977;197’081;622’412;215’484;507’791;527’186;865’906;169’071;450’924;437’708;55’506;88’678;55;1’787;296;543’353;229’573;262’051;17.4
Freiburg;318’714;71’206;197’382;50’126;159’579;159’135;246’355;72’359;146’131;132’836;13’533;25’678;25;444;58;104’670;133’895;80’149;14.7
Solothurn;273’194;52’055;167’704;53’435;136’475;136’719;211’399;61’795;114’497;119’734;14’210;24’262;11;412;61;164’793;70’080;38’321;13.3
Neuenburg;176’850;37’361;105’812;33’677;86’621;90’229;132’143;44’707;78’853;69’688;9’652;18’382;12;228;34;103’062;52’257;21’531;12.2
Jura;73’419;15’395;42’692;15’332;36’317;37’102;62’651;10’768;31’840;30’622;4’540;6’311;10;84;11;24’996;14’133;34’290;10.9
