Struktur der ständigen Wohnbevölkerung nach Kanton, am 31.12.2018;;;;;;;;;;;;;;;;;;T 01.02.03.04;
;Total;Alter;;;Geschlecht;;Staatsangehörigkeit;;Zivilstand 1;;;;;;;Typologie: Raum mit städtischem Charakter 2;;;Preis pro m2
Nordwestschweiz;1’161’105;226’158;713’317;221’630;576’428;584’677;854’046;307’059;498’190;505’965;56’482;97’709;68;2’408;261;761’407;291’340;108’358;
Basel-Stadt;194’766;33’585;122’466;38’715;94’311;100’455;123’867;70’899;93’443;71’195;10’436;18’868;25;722;74;194’766;0;0;17.4
Basel-Landschaft;288’132;55’328;169’597;63’207;141’341;146’791;222’396;65’736;116’257;131’140;15’671;24’333;9;661;59;196’108;85’166;6’858;16.9
Aargau;678’207;137’245;421’254;119’708;340’776;337’431;507’783;170’424;288’490;303’630;30’375;54’508;34;1’025;128;370’533;206’174;101’500;15.6
Zürich;1’520’968;300’178;962’059;258’731;757’081;763’887;1’112’574;408’394;705’128;616’619;62’676;130’518;90;5’125;753;1’173’534;337’221;10’213;19.1
Ostschweiz;1’176’321;233’799;719’480;223’042;590’060;586’261;906’244;270’077;502’525;517’369;58’057;96’680;60;1’451;146;638’126;201’579;336’616;
Glarus;40’403;7’726;24’566;8’111;20’448;19’955;30’671;9’732;16’842;17’889;2’310;3’316;2;41;3;30’909;0;9’494;13.1
Schaffhausen;81’991;15’411;49’233;17’347;40’560;41’431;60’626;21’365;33’668;36’412;4’568;7’186;1;141;15;47’099;26’527;8’365;13.5
Appenzell A. Rh.;55’234;11’128;33’220;10’886;27’889;27’345;46’220;9’014;23’502;24’128;2’795;4’720;1;81;7;15’745;26’569;12’920;12.8
Appenzell I. Rh.;16’145;3’424;9’630;3’091;8’300;7’845;14’321;1’824;7’354;6’995;847;930;1;15;3;0;0;16’145;14.4
St. Gallen;507’697;104’248;310’799;92’650;254’304;253’393;385’295;122’402;219’865;221’801;24’302;41’014;28;605;54;351’835;66’645;89’217;14.5
Graubünden;198’379;35’687;120’386;42’306;99’374;99’005;161’397;36’982;84’164;87’286;10’743;15’942;15;202;24;64’561;24’381;109’437;15.6
Thurgau;276’472;56’175;171’646;48’651;139’185;137’287;207’714;68’758;117’130;122’858;12’492;23’572;12;366;40;127’977;57’457;91’038;13.7
Zentralschweiz;813’056;162’941;504’973;145’142;409’769;403’287;650’521;162’535;362’322;354’594;36’382;58’329;55;1’247;111;477’046;106’022;229’988;
Luzern;409’557;83’363;254’126;72’068;204’100;205’457;333’672;75’885;187’057;174’800;18’649;28’311;24;651;58;214’883;46’250;148’424;15.6
Uri;36’433;7’340;21’651;7’442;18’609;17’824;31’936;4’497;15’568;16’939;1’996;1’886;8;31;5;22’499;9’789;4’145;13.4
Schwyz;159’165;30’986;99’947;28’232;81’599;77’566;124’828;34’337;68’977;70’322;7’053;12’543;5;238;23;96’821;33’747;28’597;16.5
Obwalden;37’841;7’639;23’100;7’102;19’144;18’697;32’296;5’545;16’644;16’880;1’782;2’494;2;37;2;10’368;0;27’473;14.2
Nidwalden;43’223;7’884;26’552;8’787;22’122;21’101;36’872;6’351;18’622;19’151;1’999;3’402;4;42;1;16’097;5’777;21’349;15.7
Zug;126’837;25’729;79’597;21’511;64’195;62’642;90’917;35’920;55’454;56’502;4’903;9’693;12;248;22;116’378;10’459;0;19.8
Tessin;353’343;64’098;209’350;79’895;172’192;181’151;255’116;98’227;148’532;152’586;21’400;30’299;41;431;52;251’554;76’225;25’564;13.7
