KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
1;ZH;Zürich;1’520’968;300’178;962’059;258’731;757’081;763’887;1’112’574;408’394;705’128;616’619;62’676;130’518;90;5’125;753;1’173’534;337’221;10’213;19.1
2;BE;Bern;1’034’977;197’081;622’412;215’484;507’791;527’186;865’906;169’071;450’924;437’708;55’506;88’678;55;1’787;296;543’353;229’573;262’051;17.4
3;LU;Luzern;409’557;83’363;254’126;72’068;204’100;205’457;333’672;75’885;187’057;174’800;18’649;28’311;24;651;58;214’883;46’250;148’424;15.6
4;UR;Uri;36’433;7’340;21’651;7’442;18’609;17’824;31’936;4’497;15’568;16’939;1’996;1’886;8;31;5;22’499;9’789;4’145;13.4
5;SZ;Schwyz;159’165;30’986;99’947;28’232;81’599;77’566;124’828;34’337;68’977;70’322;7’053;12’543;5;238;23;96’821;33’747;28’597;16.5
6;OW;Obwalden;37’841;7’639;23’100;7’102;19’144;18’697;32’296;5’545;16’644;16’880;1’782;2’494;2;37;2;10’368;0;27’473;14.2
7;NW;Nidwalden;43’223;7’884;26’552;8’787;22’122;21’101;36’872;6’351;18’622;19’151;1’999;3’402;4;42;1;16’097;5’777;21’349;15.7
8;GL;Glarus;40’403;7’726;24’566;8’111;20’448;19’955;30’671;9’732;16’842;17’889;2’310;3’316;2;41;3;30’909;0;9’494;13.1
9;ZG;Zug;126’837;25’729;79’597;21’511;64’195;62’642;90’917;35’920;55’454;56’502;4’903;9’693;12;248;22;116’378;10’459;0;19.8
10;FR;Freiburg;318’714;71’206;197’382;50’126;159’579;159’135;246’355;72’359;146’131;132’836;13’533;25’678;25;444;58;104’670;133’895;80’149;14.7
11;SO;Solothurn;273’194;52’055;167’704;53’435;136’475;136’719;211’399;61’795;114’497;119’734;14’210;24’262;11;412;61;164’793;70’080;38’321;13.3
12;BS;Basel-Stadt;194’766;33’585;122’466;38’715;94’311;100’455;123’867;70’899;93’443;71’195;10’436;18’868;25;722;74;194’766;0;0;17.4
13;BL;Basel-Landschaft;288’132;55’328;169’597;63’207;141’341;146’791;222’396;65’736;116’257;131’140;15’671;24’333;9;661;59;196’108;85’166;6’858;16.9
14;SH;Schaffhausen;81’991;15’411;49’233;17’347;40’560;41’431;60’626;21’365;33’668;36’412;4’568;7’186;1;141;15;47’099;26’527;8’365;13.5
15;AR;Appenzell A. Rh.;55’234;11’128;33’220;10’886;27’889;27’345;46’220;9’014;23’502;24’128;2’795;4’720;1;81;7;15’745;26’569;12’920;12.8
16;AI;Appenzell I. Rh.;16’145;3’424;9’630;3’091;8’300;7’845;14’321;1’824;7’354;6’995;847;930;1;15;3;0;0;16’145;14.4
17;SG;St. Gallen;507’697;104’248;310’799;92’650;254’304;253’393;385’295;122’402;219’865;221’801;24’302;41’014;28;605;54;351’835;66’645;89’217;14.5
18;GR;Graubünden;198’379;35’687;120’386;42’306;99’374;99’005;161’397;36’982;84’164;87’286;10’743;15’942;15;202;24;64’561;24’381;109’437;15.6
19;AG;Aargau;678’207;137’245;421’254;119’708;340’776;337’431;507’783;170’424;288’490;303’630;30’375;54’508;34;1’025;128;370’533;206’174;101’500;15.6
20;TG;Thurgau;276’472;56’175;171’646;48’651;139’185;137’287;207’714;68’758;117’130;122’858;12’492;23’572;12;366;40;127’977;57’457;91’038;13.7
21;TI;Tessin;353’343;64’098;209’350;79’895;172’192;181’151;255’116;98’227;148’532;152’586;21’400;30’299;41;431;52;251’554;76’225;25’564;13.7
22;VD;Waadt;799’145;175’670;492’075;131’400;392’529;406’616;533’878;265’267;374’074;319’150;34’214;69’485;60;1’892;247;493’915;222’272;82’958;17.1
23;VS;Wallis;343’955;68’005;208’500;67’450;170’431;173’524;265’879;78’076;147’060;149’070;18’370;28’941;33;408;56;188’756;82’257;72’942;14
24;NE;Neuenburg;176’850;37’361;105’812;33’677;86’621;90’229;132’143;44’707;78’853;69’688;9’652;18’382;12;228;34;103’062;52’257;21’531;12.2
25;GE;Genf;499’480;105’511;312’012;81’957;241’848;257’632;299’540;199’940;237’453;191’859;20’326;48’059;78;1’475;219;455’141;44’339;0;18.9
26;JU;Jura;73’419;15’395;42’692;15’332;36’317;37’102;62’651;10’768;31’840;30’622;4’540;6’311;10;84;11;24’996;14’133;34’290;10.9
